Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Hamming Distance,Inv. Hamming Distance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2
GON_086,100,0.0243127,0.284664188,8,0.51903737,0.444444444,0.555555556,FGF9;CBX2;SOX9;DMRT1;DKK1;UGR;AMH;PGD2;FOXL2;CTNNB1,WT1mKTS;SRY;WT1pKTS;NR5A1;GATA4;RSPO1;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_087,100,0.046191318,0.449448926,7,0.444089049,0.388888889,0.611111111,FGF9;CBX2;SOX9;DKK1;UGR;AMH;PGD2;GATA4;RSPO1;FOXL2;WNT4;NR0B1,WT1mKTS;SRY;WT1pKTS;DMRT1;NR5A1;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_088,100,0.019836874,0.277783274,9,0.388809971,0.5,0.5,FGF9;CBX2;WT1mKTS;SRY;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4;RSPO1;CTNNB1;WNT4,WT1pKTS;FOXL2;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_089,100,0.019707526,0.117892944,8,0.428886432,0.5,0.5,FGF9;WT1mKTS;WT1pKTS;NR5A1;DKK1;UGR;AMH;RSPO1;CTNNB1;WNT4;NR0B1,CBX2;SRY;SOX9;DMRT1;PGD2;GATA4;FOXL2,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_090,100,0.043622941,0.224800833,7,0.458155791,0.611111111,0.388888889,FGF9;WT1mKTS;WT1pKTS;SOX9;NR5A1;DKK1;UGR;PGD2;GATA4;RSPO1;FOXL2;WNT4;NR0B1,CBX2;SRY;DMRT1;AMH;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_091,100,0.016193885,0.235052704,8,0.446834944,0.611111111,0.388888889,FGF9;CBX2;WT1mKTS;SRY;CTNNB1,WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4;RSPO1;FOXL2;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_092,100,0.038970167,0.238328135,8,0.428766575,0.277777778,0.722222222,FGF9;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;PGD2;GATA4;FOXL2;NR0B1,CBX2;AMH;RSPO1;CTNNB1;WNT4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_093,100,0.098524266,0.410239572,6,0.626914944,0.222222222,0.777777778,FGF9;CBX2;SOX9;RSPO1;FOXL2;CTNNB1;WNT4,WT1mKTS;SRY;WT1pKTS;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_094,100,0.046505749,0.261712622,8,0.551586203,0.833333333,0.166666667,FGF9;CBX2;NR5A1;UGR;AMH;RSPO1;CTNNB1;WNT4,WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;DKK1;PGD2;GATA4;FOXL2;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_095,100,0.126207329,0.472446683,5,0.692848951,0.722222222,0.277777778,FGF9;WT1mKTS;SRY;WT1pKTS;SOX9;NR5A1;AMH;PGD2;GATA4;FOXL2;NR0B1,CBX2;DMRT1;DKK1;UGR;RSPO1;CTNNB1;WNT4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_096,100,0.038530076,0.158010031,9,0.437486475,0.555555556,0.444444444,FGF9;SRY;WT1pKTS;SOX9;DKK1;UGR;PGD2;GATA4;RSPO1;FOXL2;WNT4,CBX2;WT1mKTS;DMRT1;NR5A1;AMH;CTNNB1;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_097,100,0.137297468,0.315723317,7,0.544751526,0,1,FGF9;SOX9;AMH;PGD2;RSPO1;FOXL2;CTNNB1,CBX2;WT1mKTS;SRY;WT1pKTS;DMRT1;NR5A1;DKK1;UGR;GATA4;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_098,100,0.015809621,0.1602263,9.666666667,0.379771128,0.611111111,0.388888889,FGF9;DKK1;UGR;PGD2;FOXL2;WNT4;NR0B1,CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;AMH;GATA4;RSPO1;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_099,100,0.037077425,0.16534265,9,0.455020062,0.277777778,0.722222222,FGF9;SOX9;DKK1;PGD2;RSPO1;FOXL2;NR0B1,CBX2;WT1mKTS;SRY;WT1pKTS;DMRT1;NR5A1;UGR;AMH;GATA4;CTNNB1;WNT4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
GON_100,100,0.037380213,0.307663053,8,0.489562609,0.166666667,0.833333333,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;DKK1;UGR;GATA4;RSPO1;CTNNB1;WNT4;NR0B1,NR5A1;AMH;PGD2;FOXL2,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1
