Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
GON_010,100,0.027508489,0.377612445,6.333333333,0.628487009,FGF9;SRY;SOX9;NR5A1;UGR;AMH;PGD2;GATA4;RSPO1;FOXL2;CTNNB1;WNT4,CBX2;WT1mKTS;WT1pKTS;DMRT1;DKK1;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.333333333,0.666666667
GON_011,100,0.012089239,0.246206129,8,0.436473438,FGF9;CBX2;SRY;WT1pKTS;SOX9;NR5A1;GATA4;FOXL2;CTNNB1,WT1mKTS;DMRT1;DKK1;UGR;AMH;PGD2;RSPO1;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.333333333,0.666666667
GON_012,100,0.031628831,0.332338712,8,0.531295108,FGF9;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,CBX2;WT1mKTS;SRY;WT1pKTS;GATA4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.722222222,0.277777778
GON_013,100,0.044155698,0.434471975,5,0.701353285,FGF9;CBX2;SRY;DMRT1;NR5A1;UGR;AMH;GATA4;CTNNB1,WT1mKTS;WT1pKTS;SOX9;DKK1;PGD2;RSPO1;FOXL2;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.444444444,0.555555556
GON_014,100,0.043465893,0.242080049,7,0.639547356,FGF9;CBX2;DMRT1;NR5A1;DKK1;UGR;PGD2;GATA4;WNT4;NR0B1,WT1mKTS;SRY;WT1pKTS;SOX9;AMH;RSPO1;FOXL2;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.277777778,0.722222222
GON_015,100,0.020667834,0.254020005,8,0.592595229,FGF9;WT1pKTS;DMRT1,CBX2;WT1mKTS;SRY;SOX9;NR5A1;DKK1;UGR;AMH;PGD2;GATA4;RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.555555556,0.444444444
GON_016,100,0.031560025,0.238085147,7,0.520933842,FGF9;WT1pKTS;NR5A1;DKK1;UGR;AMH;GATA4;WNT4;NR0B1,CBX2;WT1mKTS;SRY;SOX9;DMRT1;PGD2;RSPO1;FOXL2;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.611111111,0.388888889
GON_017,100,0.046468857,0.165749353,10,0.325843746,FGF9;FOXL2,CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4;RSPO1;CTNNB1;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.555555556,0.444444444
GON_018,100,0.059924178,0.281943489,6.666666667,0.594036227,FGF9;CBX2;WT1mKTS;WT1pKTS;NR5A1;DKK1;UGR;GATA4;RSPO1;NR0B1,SRY;SOX9;DMRT1;AMH;PGD2;FOXL2;CTNNB1;WNT4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.666666667,0.333333333
GON_019,100,0.041269216,0.266383292,8,0.420367458,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DKK1;AMH;PGD2;GATA4;WNT4;NR0B1,DMRT1;NR5A1;UGR;RSPO1;FOXL2;CTNNB1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.666666667,0.333333333
GON_020,100,0.132140449,0.383448508,6,0.59260007,FGF9;CBX2;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;AMH;PGD2;GATA4;RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,WT1mKTS;UGR,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.111111111,0.888888889
GON_021,100,0.033018788,0.137514522,9,0.410702778,FGF9;WT1mKTS;SRY;SOX9;NR5A1;AMH;GATA4;FOXL2;CTNNB1,CBX2;WT1pKTS;DMRT1;DKK1;UGR;PGD2;RSPO1;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.5,0.5
GON_022,100,0.038537903,0.233717486,8.666666667,0.539760858,FGF9;WT1mKTS;SOX9;DMRT1;UGR;PGD2;GATA4;FOXL2;NR0B1,CBX2;SRY;WT1pKTS;NR5A1;DKK1;AMH;RSPO1;CTNNB1;WNT4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.222222222,0.777777778
GON_023,100,0.026921645,0.309753306,9,0.458276134,FGF9;WT1mKTS;DMRT1;NR5A1;PGD2;GATA4;RSPO1;FOXL2,CBX2;SRY;WT1pKTS;SOX9;DKK1;UGR;AMH;CTNNB1;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.444444444,0.555555556
GON_024,100,0.054561111,0.237382415,9,0.440611363,FGF9;DMRT1;PGD2,CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;NR5A1;DKK1;UGR;AMH;GATA4;RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.444444444,0.555555556
GON_025,100,0.018079702,0.188513167,8,0.388916156,FGF9;WT1mKTS;WT1pKTS;SOX9;DMRT1;DKK1;PGD2;RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,CBX2;SRY;NR5A1;UGR;AMH;GATA4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.277777778,0.722222222
GON_026,100,0.014267359,0.266779893,9,0.483839876,FGF9;UGR;PGD2;FOXL2;CTNNB1;WNT4,CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;AMH;GATA4;RSPO1;NR0B1,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.722222222,0.277777778
GON_027,100,0.028414007,0.322978172,8,0.62949327,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;NR5A1;DKK1;AMH;PGD2;GATA4;CTNNB1;WNT4;NR0B1,SOX9;DMRT1;UGR;RSPO1;FOXL2,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.277777778,0.722222222
GON_028,100,0.094015754,0.407368823,6,0.630023181,FGF9;WT1mKTS;SRY;SOX9;DMRT1;NR5A1;AMH;GATA4;RSPO1;FOXL2;CTNNB1;NR0B1,CBX2;WT1pKTS;DKK1;UGR;PGD2;WNT4,FGF9;CBX2;WT1mKTS;SRY;WT1pKTS;SOX9;DMRT1;NR5A1;DKK1;UGR;AMH;PGD2;GATA4,RSPO1;FOXL2;CTNNB1;WNT4;NR0B1,0.111111111,0.888888889
