Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,Number of PCs,PC1 Variance,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
GON_93_10,10,0.032236992,0.232346623,7,0.43530388,DKK1;WT1mKTS;SRY;WT1pKTS;FGF9;UGR;NR5A1;AMH;FOXL2;SOX9;GATA4;DMRT1;RSPO1,PGD2;CBX2;WNT4;CTNNB1;NR0B1,DKK1;WT1mKTS;SRY;WT1pKTS;UGR;NR5A1;FOXL2;GATA4;WNT4;RSPO1;NR0B1,PGD2;FGF9;CBX2;AMH;SOX9;DMRT1;CTNNB1,0.333333333,0.666666667
GON_93_11,10,0.059708152,0.284687745,6,0.40772247,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;FOXL2;SOX9;GATA4;RSPO1,DMRT1;WNT4;CTNNB1;NR0B1,PGD2;WT1mKTS;SRY;WT1pKTS;UGR;FOXL2;SOX9;GATA4;WNT4;RSPO1;CTNNB1,DKK1;FGF9;CBX2;NR5A1;AMH;DMRT1;NR0B1,0.388888889,0.611111111
GON_93_12,10,0.045894618,0.288359261,7,0.494208015,DKK1;PGD2;WT1mKTS;SRY;FGF9;NR5A1;FOXL2;SOX9;RSPO1,WT1pKTS;CBX2;UGR;AMH;GATA4;DMRT1;WNT4;CTNNB1;NR0B1,WT1mKTS;WT1pKTS;UGR;AMH;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;PGD2;SRY;FGF9;CBX2;NR5A1;SOX9;DMRT1,0.722222222,0.277777778
GON_93_13,10,0.032492111,0.154814879,7,0.33949516,DKK1;PGD2;SRY;WT1pKTS;FGF9;AMH;FOXL2;SOX9;RSPO1,WT1mKTS;CBX2;UGR;NR5A1;GATA4;DMRT1;WNT4;CTNNB1;NR0B1,WT1mKTS;SRY;WT1pKTS;FGF9;UGR;AMH;FOXL2;GATA4;WNT4;RSPO1;NR0B1,DKK1;PGD2;CBX2;NR5A1;SOX9;DMRT1;CTNNB1,0.444444444,0.555555556
GON_93_14,10,0.027036734,0.387167756,6,0.417191432,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;UGR;NR5A1;AMH;FOXL2;SOX9;GATA4;RSPO1,CBX2;DMRT1;WNT4;CTNNB1;NR0B1,WT1pKTS;UGR;FOXL2;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;PGD2;WT1mKTS;SRY;FGF9;CBX2;NR5A1;AMH;SOX9;GATA4;DMRT1,0.666666667,0.333333333
GON_93_15,10,0.037971472,0.183186721,7,0.337403404,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;FOXL2;SOX9;GATA4;DMRT1;RSPO1,WNT4;CTNNB1;NR0B1,DKK1;PGD2;SRY;FGF9;AMH;SOX9;DMRT1,WT1mKTS;WT1pKTS;CBX2;UGR;NR5A1;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,0.444444444,0.555555556
GON_93_16,10,0.01512197,0.33167387,7,0.483350954,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;UGR;NR5A1;AMH;FOXL2;SOX9;GATA4;RSPO1,CBX2;DMRT1;WNT4;CTNNB1;NR0B1,PGD2;FGF9;CBX2;SOX9;DMRT1;CTNNB1,DKK1;WT1mKTS;SRY;WT1pKTS;UGR;NR5A1;AMH;FOXL2;GATA4;WNT4;RSPO1;NR0B1,0.722222222,0.277777778
GON_93_17,10,0.059254514,0.220934033,7,0.367907961,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;CBX2;UGR;NR5A1;AMH;FOXL2;SOX9;GATA4,DMRT1;WNT4;RSPO1;CTNNB1;NR0B1,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;CBX2;UGR;NR5A1;AMH;SOX9;GATA4;DMRT1;WNT4;RSPO1;NR0B1,FGF9;FOXL2;CTNNB1,0.333333333,0.666666667
GON_93_18,10,0.045537665,0.296999099,6,0.46004405,DKK1;PGD2;WT1mKTS;SRY;FGF9;NR5A1;AMH;FOXL2;SOX9;RSPO1,WT1pKTS;CBX2;UGR;GATA4;DMRT1;WNT4;CTNNB1;NR0B1,PGD2;FGF9;CBX2;AMH;SOX9;DMRT1,DKK1;WT1mKTS;SRY;WT1pKTS;UGR;NR5A1;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,0.444444444,0.555555556
GON_93_19,10,0.02661136,0.402743917,6,0.538094591,DKK1;PGD2;WT1mKTS;SRY;WT1pKTS;FGF9;UGR;NR5A1;AMH;FOXL2;SOX9;GATA4;RSPO1,CBX2;DMRT1;WNT4;CTNNB1;NR0B1,DKK1;PGD2;WT1pKTS;FGF9;CBX2;AMH;SOX9;DMRT1,WT1mKTS;SRY;UGR;NR5A1;FOXL2;GATA4;WNT4;RSPO1;CTNNB1;NR0B1,0.5,0.5
