Network,Mean PC1 Coefficient
EMT_080_10,21.42502150887227
EMT_080_11,20.61329312826988
EMT_080_12,17.361829559878736
EMT_080_13,24.067327783112397
EMT_080_14,23.156452364691393
EMT_080_15,30.803539980540826
EMT_080_16,27.600880535200695
EMT_080_17,22.351630413921107
EMT_080_18,24.11180887133141
EMT_080_19,25.376145266085867
EMT_080_20,22.056040030078215
EMT_080_21,25.423309262927177
EMT_080_22,21.066192074703032
EMT_080_23,21.834221594311924
EMT_080_24,24.045249645597906
EMT_080_25,24.197392159095447
EMT_080_26,19.529071197198082
EMT_080_27,25.347687552574392
EMT_080_28,24.134449745973885
EMT_080_29,25.6771975813314
EMT_080_30,23.930706800135145
EMT_080_31,28.068009302191978
EMT_080_32,19.01830637145415
EMT_080_33,22.986569680373652
EMT_080_34,23.308668361146914
EMT_080_35,22.329232151552965
EMT_080_36,22.298956994599862
EMT_080_37,28.360293927319823
EMT_080_38,19.336462534233682
EMT_080_39,21.878714131960116
EMT_080_40,21.186793068852655
EMT_080_41,21.491852323449077
EMT_080_42,23.435248723993546
EMT_080_43,24.08225581181428
EMT_080_44,21.496347476113854
EMT_080_45,21.406196230081118
EMT_080_46,24.751477568338895
EMT_080_47,20.723897119641336
EMT_080_48,23.891257564752244
EMT_080_49,24.521376762338377
EMT_080_50,20.8424189507694
EMT_090_01,21.148083934908318
EMT_090_02,23.65288154932721
EMT_090_03,20.474960795556616
EMT_090_04,24.188779797065777
EMT_090_05,19.234133971721814
EMT_090_06,24.964530050378556
EMT_090_07,21.041812693467
EMT_090_08,25.737504619940136
EMT_090_09,26.675613509812635
EMT_090_10,20.334737792675064
EMT_090_11,23.432955683862726
EMT_090_12,19.365002618094806
EMT_090_13,23.106564148820198
EMT_090_14,32.20037582621416
EMT_090_15,22.38239366235645
EMT_090_16,22.242483262123677
EMT_090_17,31.29353240439871
EMT_090_18,20.76491570164665
EMT_090_19,24.788704577526694
EMT_090_20,21.629648627177176
EMT_090_21,29.375576183687762
EMT_090_22,20.871051762968285
EMT_090_23,22.70859607666447
EMT_090_24,26.797659051190763
EMT_090_25,19.234634911578933
EMT_090_26,21.315325592669886
EMT_090_27,22.91009691265391
EMT_090_28,18.09998704518968
EMT_090_29,23.23460819208082
EMT_090_30,33.60762983079009
EMT_090_31,26.409996407942177
EMT_090_32,19.0535657102248
EMT_090_33,24.45333054772921
EMT_090_34,21.452119817027356
EMT_090_35,27.86633232167345
EMT_090_36,21.39559698488924
EMT_090_37,29.723185162463015
EMT_090_38,22.53153345069283
EMT_090_39,19.314514570243976
EMT_090_40,20.507706879394945
EMT_090_41,21.826599576734424
EMT_090_42,18.68459597661289
EMT_090_43,24.227971926453
EMT_090_44,26.036779722829912
EMT_090_45,23.87383301939267
EMT_090_46,18.42273152533771
EMT_090_47,19.936540711277786
EMT_090_48,22.536021161390988
EMT_090_49,19.802947486859082
EMT_090_50,22.237758776330104
EMT_100_01,20.019933987840275
EMT_100_02,21.33492227202453
EMT_100_03,23.0247207412946
EMT_100_04,22.792105194045657
EMT_100_05,25.65371729103694
EMT_100_06,28.100982343241313
EMT_100_07,22.554681958583313
EMT_100_08,27.781004863117484
EMT_100_09,26.076244966316683
EMT_100_10,21.903821670394784
EMT_100_11,23.31917173692963
EMT_100_12,18.36349776869123
EMT_100_13,18.706531564725008
EMT_100_14,25.655817179032326
EMT_100_15,25.93197359431212
EMT_100_16,26.609409020783005
EMT_100_17,24.098575982846995
EMT_100_18,19.936528323414556
EMT_100_19,27.48050962339535
EMT_100_20,22.02364413326133
EMT_100_21,25.524490476151403
EMT_100_22,19.231215394899152
EMT_100_23,25.113810828296714
EMT_100_24,30.87540640938181
EMT_100_25,18.300771036324598
EMT_100_26,21.14494969251926
EMT_100_27,20.75372809166379
EMT_100_28,23.33888693827013
EMT_100_29,17.599778782411807
EMT_100_30,21.726426736674874
EMT_100_31,21.25569790854628
EMT_100_32,25.403697905706437
EMT_100_33,27.147940898722407
EMT_100_34,27.146893108873325
EMT_100_35,22.611969671698944
EMT_100_36,22.376223953324196
EMT_100_37,18.274778642743122
EMT_100_38,23.61029838349877
EMT_100_39,28.775647784779427
EMT_100_40,29.681518565735324
EMT_100_41,28.25806114339465
EMT_100_42,21.784763064436323
EMT_100_43,22.523826029967083
EMT_100_44,26.7537481583319
EMT_100_45,28.046461684528452
EMT_100_46,21.86645274745807
EMT_100_47,21.796544051720176
EMT_100_48,21.977681957783446
EMT_100_49,25.606096493818303
EMT_100_50,18.463674821066995
