GeneSetID,Genes
Alveolar Fibrotic- Epithelial,PRKCZ
Alveolar Fibrotic- Epithelial,PROS1
Alveolar Fibrotic- Epithelial,PRR5L
Alveolar Fibrotic- Epithelial,PRSS8
Alveolar Fibrotic- Epithelial,PTGS2
Alveolar Fibrotic- Epithelial,PTPN1
Alveolar Fibrotic- Epithelial,PTPN21
Alveolar Fibrotic- Epithelial,PTPRE
Alveolar Fibrotic- Epithelial,RAB11FIP1
Alveolar Fibrotic- Epithelial,RAB31
Alveolar Fibrotic- Epithelial,RAB32
Alveolar Fibrotic- Epithelial,RANBP17
Alveolar Fibrotic- Epithelial,RASAL2
Alveolar Fibrotic- Epithelial,RASSF8
Alveolar Fibrotic- Epithelial,RBP1
Alveolar Fibrotic- Epithelial,RDX
Alveolar Fibrotic- Epithelial,RHOF
Alveolar Fibrotic- Epithelial,RIN2
Alveolar Fibrotic- Epithelial,RIPK2
Alveolar Fibrotic- Epithelial,RNASE1
Alveolar Fibrotic- Epithelial,RNF128
Alveolar Fibrotic- Epithelial,RNF213
Alveolar Fibrotic- Epithelial,ROR1
Alveolar Fibrotic- Epithelial,RRAS
Alveolar Fibrotic- Epithelial,RTKN2
Alveolar Fibrotic- Epithelial,S100A10
Alveolar Fibrotic- Epithelial,SAMD4A
Alveolar Fibrotic- Epithelial,SBDS
Alveolar Fibrotic- Epithelial,SBSPON
Alveolar Fibrotic- Epithelial,SCD5
Alveolar Fibrotic- Epithelial,SCEL
Alveolar Fibrotic- Epithelial,SCNN1B
Alveolar Fibrotic- Epithelial,SDC1
Alveolar Fibrotic- Epithelial,SDCBP
Alveolar Fibrotic- Epithelial,SEMA3B
Alveolar Fibrotic- Epithelial,SEMA3E
Alveolar Fibrotic- Epithelial,SEMA5A
Alveolar Fibrotic- Epithelial,SEMA6D
Alveolar Fibrotic- Epithelial,SFN
Alveolar Fibrotic- Epithelial,SFTA1P
Alveolar Fibrotic- Epithelial,SGCE
Alveolar Fibrotic- Epithelial,SH2D4A
Alveolar Fibrotic- Epithelial,SLC1A1
Alveolar Fibrotic- Epithelial,SLC2A3
Alveolar Fibrotic- Epithelial,SLC39A13
Alveolar Fibrotic- Epithelial,SLC39A8
Alveolar Fibrotic- Epithelial,SLC40A1
Alveolar Fibrotic- Epithelial,SLC6A4
Alveolar Fibrotic- Epithelial,SLC7A6
Alveolar Fibrotic- Epithelial,SLC7A7
Alveolar Fibrotic- Epithelial,SMAD7
Alveolar Fibrotic- Epithelial,SNAP23
Alveolar Fibrotic- Epithelial,SNX21
Alveolar Fibrotic- Epithelial,SNX22
Alveolar Fibrotic- Epithelial,SPARC
Alveolar Fibrotic- Epithelial,SPINT1
Alveolar Fibrotic- Epithelial,SPOCK2
Alveolar Fibrotic- Epithelial,SPRING1
Alveolar Fibrotic- Epithelial,SPRYD7
Alveolar Fibrotic- Epithelial,SPTAN1
Alveolar Fibrotic- Epithelial,SRGAP2B
Alveolar Fibrotic- Epithelial,SSR2
Alveolar Fibrotic- Epithelial,ST3GAL4
Alveolar Fibrotic- Epithelial,ST6GALNAC5
Alveolar Fibrotic- Epithelial,STX11
Alveolar Fibrotic- Epithelial,STX12
Alveolar Fibrotic- Epithelial,STX3
Alveolar Fibrotic- Epithelial,SULT1A1
Alveolar Fibrotic- Epithelial,SULT1A2
Alveolar Fibrotic- Epithelial,SULT2B1
Alveolar Fibrotic- Epithelial,SUSD2
Alveolar Fibrotic- Epithelial,SYNGR2
Alveolar Fibrotic- Epithelial,TACC1
Alveolar Fibrotic- Epithelial,TACSTD2
Alveolar Fibrotic- Epithelial,TAGLN
Alveolar Fibrotic- Epithelial,TBC1D2
Alveolar Fibrotic- Epithelial,TES
Alveolar Fibrotic- Epithelial,TGFBR2
Alveolar Fibrotic- Epithelial,TIMP2
Alveolar Fibrotic- Epithelial,TM4SF1
Alveolar Fibrotic- Epithelial,TMEM109
Alveolar Fibrotic- Epithelial,TMEM139
Alveolar Fibrotic- Epithelial,TMEM179B
Alveolar Fibrotic- Epithelial,TMEM59
Alveolar Fibrotic- Epithelial,TMOD3
Alveolar Fibrotic- Epithelial,TMPRSS2
Alveolar Fibrotic- Epithelial,TMSB4X
Alveolar Fibrotic- Epithelial,TNFAIP1
Alveolar Fibrotic- Epithelial,TNFRSF12A
Alveolar Fibrotic- Epithelial,TNNC1
Alveolar Fibrotic- Epithelial,TNS1
Alveolar Fibrotic- Epithelial,TOR1AIP2
Alveolar Fibrotic- Epithelial,TPM4
Alveolar Fibrotic- Epithelial,TPPP
Alveolar Fibrotic- Epithelial,TRIM16
Alveolar Fibrotic- Epithelial,TSC22D2
Alveolar Fibrotic- Epithelial,TSPAN13
Alveolar Fibrotic- Epithelial,TSPAN15
Alveolar Fibrotic- Epithelial,TSPAN4
Alveolar Fibrotic- Epithelial,TSPAN7
Alveolar Fibrotic- Epithelial,TTC7A
Alveolar Fibrotic- Epithelial,TTLL7
Alveolar Fibrotic- Epithelial,TUBA4A
Alveolar Fibrotic- Epithelial,TUBB6
Alveolar Fibrotic- Epithelial,TXNDC11
Alveolar Fibrotic- Epithelial,UBC
Alveolar Fibrotic- Epithelial,UNC13D
Alveolar Fibrotic- Epithelial,UPK3B
Alveolar Fibrotic- Epithelial,VCL
Alveolar Fibrotic- Epithelial,VEGFA
Alveolar Fibrotic- Epithelial,VSIG2
Alveolar Fibrotic- Epithelial,WASF3
Alveolar Fibrotic- Epithelial,WFS1
Alveolar Fibrotic- Epithelial,WNT3A
Alveolar Fibrotic- Epithelial,WNT7A
Alveolar Fibrotic- Epithelial,WWC2
Alveolar Fibrotic- Epithelial,YWHAH
Alveolar Fibrotic- Epithelial,ZBED2
Alveolar Fibrotic- Epithelial,ZFP36
Alveolar Fibrotic- Epithelial,ZFYVE9
Alveolar Fibrotic- Epithelial,ABCA3
Alveolar Fibrotic- Epithelial,ACADL
Alveolar Fibrotic- Epithelial,ACSL4
Alveolar Fibrotic- Epithelial,AGPAT2
Alveolar Fibrotic- Epithelial,AK1
Alveolar Fibrotic- Epithelial,AKAP13
Alveolar Fibrotic- Epithelial,ALOX15B
Alveolar Fibrotic- Epithelial,ALPL
Alveolar Fibrotic- Epithelial,AQP1
Alveolar Fibrotic- Epithelial,AREG
