Network,Number of Swaps,PC1 Variance,Influence Team Strength,Total Number of Swaps,Number of PCs
GON_030_40,15,0.4069702103975485,0.0334804548375191,30,6
GON_030_41,15,0.6371236216343599,0.0364950031304371,30,6
GON_030_42,15,0.6515123847167351,0.0584850649630959,30,6
GON_030_43,15,0.570247541323733,0.0761639263405193,30,6
GON_030_44,15,0.4843823596781897,0.0426177085723372,30,7
GON_030_45,15,0.410833008193752,0.0348735836864892,30,6
GON_030_46,15,0.3511366654584309,0.0701689703456714,30,6
GON_030_47,15,0.6341607012574341,0.0948107809401092,30,6
GON_030_48,15,0.7046684514704936,0.1421478750616847,30,6
GON_030_49,15,0.4199325329160728,0.065207435682738,30,6
GON_030_50,15,0.5664513014362563,0.052895964395453,30,7
GON_040_01,20,0.5996565975687993,0.0570776469333131,40,7
GON_040_02,20,0.4227037591075179,0.0535646330245781,40,7
GON_040_03,20,0.4611284911599969,0.0965695289781654,40,6
GON_040_04,20,0.4305221807571566,0.033707202944293,40,6
GON_040_05,20,0.4349950959803602,0.0595349097598097,40,6
GON_040_06,20,0.313319727966669,0.0102947901858279,40,8
GON_040_07,20,0.5217138087720198,0.0417646118949088,40,8
GON_040_08,20,0.5506872150847728,0.042722803447319,40,8
GON_040_09,20,0.4718777178683963,0.0216311601467544,40,6
GON_040_10,20,0.5277339614645173,0.0519874820810666,40,7
GON_040_11,20,0.5271596613377917,0.0461458221498966,40,7
GON_040_12,20,0.429244781939754,0.057478761293084,40,5
GON_040_13,20,0.579316827977956,0.0707604163497425,40,5
GON_040_14,20,0.4683172853259439,0.0371005279342607,40,5
GON_040_15,20,0.3241880094640263,0.059016444063074,40,8
GON_040_16,20,0.5904481760856041,0.0952097487948963,40,8
GON_040_17,20,0.3690270974867782,0.0412087199731659,40,8
GON_040_18,20,0.5516596419133979,0.0529648117210717,40,8
GON_040_19,20,0.4765771963187133,0.0361550177030463,40,7
GON_040_20,20,0.5772857992385249,0.0839967256328,40,7
GON_040_21,20,0.5729306265358853,0.0543185173121249,40,8
GON_040_22,20,0.3838450600184814,0.0360407338103175,40,8
GON_040_23,20,0.5641135644680463,0.0299960334038075,40,8
GON_040_24,20,0.433968365289773,0.0731401034254179,40,7
GON_040_25,20,0.3567698897124771,0.049075287948011,40,7
