Network,Number of Swaps,Influence Team Strength,Correlation Team Strength,PC1 Variance,Number of PCs,Influence Team 1,Influence Team 2,PCA Team 1,PCA Team 2,Hamming Distance,Inv. Hamming Distance
30R080_05,80,0.045019333,0.20656309,0.437557537,6.0,ZEB2;miR101;TWIST2;miR200a;SNAI1;TGFbeta;SNAI2,GSC;FOXC2;ZEB1;miR200c;TWIST1;miR141;miR200b;miR34a,miR101;GSC;miR200a;miR200b;SNAI2,ZEB2;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;miR141;SNAI1;TGFbeta;miR34a,0.4,0.6
30R080_06,80,0.005297264,0.201614428,0.332486869,8.0,ZEB2;GSC;FOXC2;ZEB1;miR200c;SNAI1;miR200b;miR34a,miR101;TWIST2;TWIST1;miR141;miR200a;TGFbeta;SNAI2,FOXC2;ZEB1;TWIST2;TWIST1;SNAI1;SNAI2,ZEB2;miR101;GSC;miR200c;miR141;miR200a;miR200b;TGFbeta;miR34a,0.5333333333333333,0.4666666666666667
30R080_07,80,0.030041374,0.348185819,0.423310672,7.0,ZEB2;miR101;GSC;ZEB1;TWIST2;miR141;miR200a;TGFbeta,FOXC2;miR200c;TWIST1;SNAI1;miR200b;miR34a;SNAI2,ZEB2;miR101;FOXC2;TWIST2;miR200c;SNAI1;miR200b;miR34a;SNAI2,GSC;ZEB1;TWIST1;miR141;miR200a;TGFbeta,0.7333333333333333,0.2666666666666666
30R080_08,80,0.005732642,0.259840228,0.369580443,9.0,ZEB2;FOXC2;ZEB1;TWIST2;miR200b;TGFbeta;miR34a;SNAI2,miR101;GSC;miR200c;TWIST1;miR141;miR200a;SNAI1,GSC;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;miR200a;SNAI1,ZEB2;miR101;miR141;miR200b;TGFbeta;miR34a;SNAI2,0.6666666666666666,0.3333333333333333
30R080_09,80,0.036001339,0.282516717,0.476288948,6.0,ZEB2;miR101;TWIST2;miR141;miR200a;miR200b;SNAI2,GSC;FOXC2;ZEB1;miR200c;TWIST1;SNAI1;TGFbeta;miR34a,miR101;GSC;FOXC2;ZEB1;TWIST2;TWIST1;SNAI1;miR200b;TGFbeta;miR34a,ZEB2;miR200c;miR141;miR200a;SNAI2,0.7333333333333333,0.2666666666666666
30R080_10,80,0.066881357,0.388834925,0.506735645,5.0,ZEB2;GSC;ZEB1;TGFbeta,miR101;FOXC2;TWIST2;miR200c;TWIST1;miR141;miR200a;SNAI1;miR200b;miR34a;SNAI2,miR101;FOXC2;TWIST2;miR200a;SNAI1;miR200b;miR34a;SNAI2,ZEB2;GSC;ZEB1;miR200c;TWIST1;miR141;TGFbeta,0.8,0.2
30R090_01,90,0.031414959,0.301655513,0.472082961,6.0,ZEB2;GSC;TWIST2;miR200c;SNAI1;TGFbeta;miR34a;SNAI2,miR101;FOXC2;ZEB1;TWIST1;miR141;miR200a;miR200b,ZEB2;miR101;GSC;ZEB1;TWIST1;miR141;miR200a;TGFbeta;miR34a;SNAI2,FOXC2;TWIST2;miR200c;SNAI1;miR200b,0.5333333333333333,0.4666666666666667
30R090_02,90,0.035863777,0.260614798,0.34456368,8.0,ZEB2;miR101;GSC;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta;miR34a,SNAI2,FOXC2;ZEB1;TWIST2;miR200c;miR141;SNAI1;miR200b;miR34a;SNAI2,ZEB2;miR101;GSC;TWIST1;miR200a;TGFbeta,0.4666666666666667,0.5333333333333333
30R090_03,90,0.047810177,0.261023396,0.353688181,7.0,ZEB2;miR101;GSC;FOXC2;ZEB1;TWIST2;miR200c;miR141;miR200a;SNAI1;miR200b;TGFbeta;miR34a,TWIST1;SNAI2,miR101;FOXC2;ZEB1;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta;miR34a;SNAI2,ZEB2;GSC;TWIST2;miR200c,0.4,0.6
30R090_04,90,0.017769832,0.166201927,0.327794213,6.0,ZEB2;TWIST2;miR34a;SNAI2,miR101;GSC;FOXC2;ZEB1;miR200c;TWIST1;miR141;miR200a;SNAI1;miR200b;TGFbeta,ZEB2;GSC;FOXC2;ZEB1;TWIST2;TWIST1;miR200a;miR200b,miR101;miR200c;miR141;SNAI1;TGFbeta;miR34a;SNAI2,0.5333333333333333,0.4666666666666667
30R090_05,90,0.036855181,0.162879505,0.344488542,6.0,ZEB2;miR101;ZEB1;miR200c;TGFbeta;miR34a,GSC;FOXC2;TWIST2;TWIST1;miR141;miR200a;SNAI1;miR200b;SNAI2,ZEB2;miR101;FOXC2;ZEB1;TWIST2;miR200c;TWIST1;SNAI1;miR34a,GSC;miR141;miR200a;miR200b;TGFbeta;SNAI2,0.3333333333333333,0.6666666666666666
30R090_06,90,0.020988868,0.21430843,0.261984482,8.0,ZEB2;miR101;FOXC2;SNAI1;miR200b;TGFbeta;miR34a,GSC;ZEB1;TWIST2;miR200c;TWIST1;miR141;miR200a;SNAI2,miR101;GSC;TWIST2;TWIST1;miR141;miR34a;SNAI2,ZEB2;FOXC2;ZEB1;miR200c;miR200a;SNAI1;miR200b;TGFbeta,0.6666666666666666,0.3333333333333333
30R090_07,90,0.019295063,0.19678381,0.284093664,8.333333333,ZEB2;GSC;FOXC2;ZEB1;TWIST2;TWIST1;SNAI1;miR200b;TGFbeta;SNAI2,miR101;miR200c;miR141;miR200a;miR34a,ZEB2;miR101;GSC;ZEB1;miR200c;miR141;miR200a;miR34a;SNAI2,FOXC2;TWIST2;TWIST1;SNAI1;miR200b;TGFbeta,0.7333333333333333,0.2666666666666666
30R090_08,90,0.029310939,0.275580348,0.428900598,6.333333333,ZEB2;miR101;GSC;ZEB1;miR200c;miR141;SNAI1;miR200b;SNAI2,FOXC2;TWIST2;TWIST1;miR200a;TGFbeta;miR34a,GSC;FOXC2;SNAI1;miR200b;SNAI2,ZEB2;miR101;ZEB1;TWIST2;miR200c;TWIST1;miR141;miR200a;TGFbeta;miR34a,0.4,0.6
30R090_09,90,0.016715293,0.314670333,0.356675615,8.0,ZEB2;miR101;ZEB1;TWIST2;miR200c;miR200a;SNAI1,GSC;FOXC2;TWIST1;miR141;miR200b;TGFbeta;miR34a;SNAI2,ZEB2;ZEB1;miR200c;miR141;miR200a;SNAI1;SNAI2,miR101;GSC;FOXC2;TWIST2;TWIST1;miR200b;TGFbeta;miR34a,0.2666666666666666,0.7333333333333333
